id,text,source,is_true
1,Wirus 2019-nCoV to wirus należący do rodziny koronawirusów (coronaviridae).',www.mp.pl,TRUE
2,"Koronawirusy występują u zwierząt i powodują u nich różne choroby (układu oddechowego, układu pokarmowego, wątroby, układu nerwowego), wiele zakażeń przebiega też bezobjawowo.'",www.mp.pl,TRUE
3,Koronawirusy często mutują i mają dużą zdolność do zakażania nowych gatunków.',www.mp.pl,TRUE
4,"Wszystkie poznane dotąd koronawirusy powodujące zakażenia u ludzi są wirusami, które wywołują objawy ze strony układu oddechowego, bardzo rzadko ze strony innych układów i narządów.'",www.mp.pl,TRUE
5,"Możliwe, że oprócz zakażenia układu oddechowego u dzieci do 12. miesiąca życia mogą wywoływać biegunkę.'",www.mp.pl,TRUE
6,"Do 2019 roku poznano 6 wirusów powodujących zakażenia u ludzi - Cztery z nich (229E, OC43, NL63, HKU1) są przyczyną przeziębienia o łagodnym przebiegu a dwa pozostałe (wirusy SARS i MERS) mogą prowadzić do zagrażającej życiu ostrej niewydolności oddechowej.'",www.mp.pl,TRUE
7,"Koronawirus 2019-nCoV jest wirusem odpowiedzialnym za obecną epidemię zakażeń układu oddechowego, która rozpoczęła się w Wuhan, w Chinach i tam po raz pierwszy został zidentyfikowany w grudniu 2019 roku.'",www.mp.pl,TRUE
8,COVID-19 to choroba wywołana przez koronawirus z Wuhan (2019-CoV). Wcześniej choroba nie miała nazwy i posługiwano się określeniami typu „choroba wywołana przez koronawirus” lub „zachorowanie z powodu zakażenia koronawirusem z Wuhan”.',www.mp.pl,TRUE
9,"Nazwa COVID-19 została ogłoszona przez Światową Organizację Zdrowia (WHO) i obowiązuje oficjalnie. ""CO"" w nazwie oznacza koronę (ang. corona), ""VI"" – wirus (ang. virus), ""D"" - chorobę (ang. disease), a liczba 19 wskazuje rok pojawienia się wirusa – 2019 (Corona-Virus-Disease-2019).'",www.mp.pl,TRUE
10,"Różnica między koronawirusem a COVID-19 jest taka, że koronawirus to czynnik wywołujący chorobę, a COVID-19 to choroba, czyli zespół objawów spowodowanych przez ten czynnik.'",www.mp.pl,TRUE
11,"Pacjenci z potwierdzonym zakażeniem koronawirusem 2019-nCoV mieli objawy zakażenia układu oddechowego, takie jak gorączka,kaszel (raczej suchy),duszność.'",www.mp.pl,TRUE
12,"Często występował także ból mięśni, rzadziej splątanie, ból głowy, ból gardła, produktywny (czyli „mokry”) kaszel, krwioplucie.'",www.mp.pl,TRUE
13,"Biegunka występowała tylko u 2–3% chorych.' ,",www.mp.pl,TRUE
14,Objawy zwykle pojawiały się między 2. a 14. dniem po zakażeniu.',www.mp.pl,TRUE
15,"Początkowo objawy są łagodne, ich nasilenie narasta w czasie.'",www.mp.pl,TRUE
16,"Przebieg zakażeń COVID-19 jest zróżnicowany: od bezobjawowego, przez łagodną chorobę układu oddechowego (podobną do przeziębienia), po ciężkie zapalenie płuc z zespołem ostrej niewydolności oddechowej i/lub niewydolnością wielonarządową.'",www.mp.pl,TRUE
17,"Około 80% osób, które chorują na COVID-19 nie wymaga leczenia, a choroba ustępuje sama.'",www.mp.pl,TRUE
18,"1 na 6 osób ma cięższy przebieg choroby, problemy z oddychaniem i wymaga leczenia.'",www.mp.pl,TRUE
19,"Zgodnie z danymi Chińskiego Centrum Kontroli i Prewencji Chorób, obejmującymi ponad 70 000 przypadków COVID-19 odnotowanych do 11 lutego 2020 roku, 87% chorych z COVID-19 w Chinach należy do grupy wiekowej 30–79 lat, a 8% zachorowań dotyczyło osób w wieku 20–29 lat.'",www.mp.pl,TRUE
20,Osoby po 70. roku życia stanowiły 3% wszystkich przypadków COVID-19. U 81% chorych nie doszło do rozwoju zapalenia płuc lub przebiegało ono łagodnie. U 14% chorych przebieg zakażenia oceniono jako ciężki.',www.mp.pl,TRUE
21,"Należy pamiętać, że podobne objawy mogą występować przy wielu innych chorobach, zwłaszcza zakażeniach układu oddechowego, które są dość częste w sezonie jesienno-zimowym. Do zachorowania w powodu koronawirusa 2019-nCoV niezbędne jest zakażenie",www.mp.pl,TRUE
22,"Zakazić sie koronawirusem można poprzez kontakt bezpośredni z osobą chorą (np. przy udzielaniu pomocy medycznej, w pracy, przebywanie w tym samym pomieszczeniu, wspólne podróżowanie lub mieszkanie razem),'",www.mp.pl,TRUE
23,"Zakazić sie koronawirusem można poprzez podróżowanie do regionu, w którym wybuchła epidemia w ciągu 14 dni przed pojawieniem się objawów, praca w miejscu udzielania pomocy medycznej, gdzie przebywali i byli leczeni chorzy na koronawirus 2019-nCoV'",www.mp.pl,TRUE
24,"Tak jak w przypadku innych zakażeń układu oddechowego, zakażenie koronawirusem może powodować łagodne objawy, takie jak ból gardła, kaszel i gorączkę. Jednak u niektórych osób może mieć ciężki przebieg i prowadzić do zapalenia płuc i problemów z oddychaniem.'",www.mp.pl,TRUE
25,Zakażenie koronawirusem (COVID-19) może prowadzić do zgonu.',www.mp.pl,TRUE
