0,"Prawidłowa higiena rąk jest rozwiązaniem, które może mieć duży wpływ na zatrzymanie epidemii koronawirusa"
1,"Środki antybakteryjne, jak sama nazwa mówi nie zabijają wirusów"
2,Zwierzeta nie przenoszą wirusa covid
3,"przyjmowanie leków przeciwzapalnych ibuprofen, kortyzon może być czynnikiem pogarszającym przebieg infekcji"
4,"Koronawirusy to grupa wirusów, które wywołują najczęściej infekcje układu oddechowego"
5,Jego oficjalna nazwa brzmi SARS-CoV-2 i wywołuje chorobę COVID-19
6,COVID-19 rozprzestrzenia się drogą kropelkową
7,"Do głównych trzech objawów, które towarzyszą zarażeniu, należą: kaszel, duszności (płytki oddech) oraz gorączka"
8,"Rzadziej pojawiają się: ból mięśni, ból głowy, ból gardła, uczucie rozbicia"
9,Pierwsze symptomy choroby pojawiają się od 2 do 10 dni po zarażeniu zdarzają się jednak przypadki namnażania się patogenu do 24 dni
10,COVID-19 może mieć przebieg: łagodny lub bezobjawowy bądź ostry - zagrażający zdrowiu oraz życiu
11,Głównym nakazem prewencyjnym jest dokładne i długie mycie rąk
12,"Jeśli nie mamy możliwości skorzystania z umywalki, warto zaopatrzyć się w żel dezynfekcyjny do mycia rąk, by uniknąć kontaktu z zarazkami"
13,"Warto również pamiętać o tym, by nie przykładać dłoni do twarzy, zwłaszcza ust oraz oczu"
14,"Jest to trudne zadanie, gdyż każdy mimowolnie może dotykać twarzy nawet 25 razy w ciągu godziny"
15,"Kolejny ważny aspekt to poruszanie się komunikacją miejską, w której należy zachować szczególną ostrożność"
16,To obostrzenie dotyczy również skupisk ludzi np. w galerii handlowej
17,W okresie wysokiego zagrożenia COVID-19 nie należy witać się uściskiem dłoni bądź pocałunkiem
18,Nie należy też dzielić się jedzeniem np. sięgać do tej samej paczki chipsów
19,Warto również zadbać o higienę w domu. Każdy z domowników powinien mieć własny ręcznik oraz szczoteczkę do zębów
20,"Pamiętajmy także o dokładnym czyszczeniu przestrzeni, z której często korzystamy  biurka w pracy, klamek, blatu kuchennego, stołu w jadalni"
21,"Znane naukowcom koronawirusy atakują drogi oddechowe, powodując infekcje: od zwyczajnego przeziębienia aż po ostre zespoły, jak Middle East Respiratory Syndrome (MERS) czy ciężką niewydolność oddechową (SARS)"
22,"Do najczęstszych objawów COVID-19 należą: gorączka, zmęczenie oraz suchy kaszel niektórzy pacjenci mogą odczuwać inne dolegliwości: zatkany nos, katar, ból gardła czy biegunkę"
23,Objawy są na ogół łagodne i nasilają się stopniowo niektóre zarażone osoby nie zauważają żadnych objawów i czują się dobrze
24,Większość zarażonych około 80 proc. dochodzi do siebie bez konieczności specjalnego leczenia
25,"Jedna na sześć osób, które zarażą się COVID-19, przechodzi przez poważny przebieg choroby i ma trudności z oddychaniem"
26,"Wsród grup narażonych na poważne symptomy choroby są osoby starsze, ale też te z nadciśnieniem tętniczym, problemami kardiologicznymi czy cukrzycą"
27,Około 2 proc. zarażonych COVID-19 zmarło
28,"Osoby z gorączką, kaszlem i problemami z oddychaniem powinny udać się do lekarza"
29,"Ludzie mogą zarazić się COVID-19 od innych nosicieli poprzez kropelki z nosa lub ust, które rozpryskują się, gdy osoba zarażona kaszle, kicha lub wydycha powietrze"
30,"Ważne jest to, by od osoby zarażonej przebywać w odległości większej niż metr"
31,Wirus osiada na przedmiotach i powierzchniach
32,"Do zarażenia dochodzi, kiedy ludzie, którzy mieli kontakt z zakażonymi powierzchni, dotkną dłonią oka, nosa lub ust"
33,"Badania sugerują, że koronawirus powodujący COVID-19 jest przenoszony głownie przez kontakt z kropelkami, nie zaś przez powietrze"
34,"Główną drogą rozprzestrzeniania się koronawirusa są kropelki wydalone przez osobę chorą, najczęściej poprzez kaszel"
35,"Ryzyko zarażenia się COVID-19 od kogoś, kto nie objawia żadnych symptomów jest bardzo niskie"
36,"Jest jednak możliwe, by zarazić się COVID-19 od kogoś, kto ma łagodne objawy lub w ogóle nie czuje się źle"
37,Ryzyko zarażenia się COVID-19 poprzez kontakt z kałem wydaje się niskie
38,"Chociaż wstępne badania sugerują, że wirus może być obecny w kale, to rozprzestrzenienie się tą drogą nie jest głównym przyczyną epidemii"
39,"Biorąc pod uwagę ryzyko, to kolejny powód, by regularnie myć ręce, szczególnie po skorzystaniu z łazienki i przed jedzeniem"
40,Śledź aktualne informacje na temat COVID-19 dostępne na stronie WHO oraz przekazywane przez krajowe i lokalne instytucje zdrowia publicznego
41,"Mycie rąk mydłem i wodą lub preparatami alkoholowymi zabija wirusy, które potencjalnie mogą znajdować się na twoich rękach"
42,"Zachowaj odległość co najmniej 1 metra od każdego, kto kaszle lub kicha. Dlaczego? COVID-19 można złapać od innych zarażonych osób, które kaszlą lub wydychają kropelki"
43,"COVID-19 można złapać od innych zarażonych osób, które kaszlą lub wydychają kropelki"
44,"Zostań w domu, jeśli źle się czujesz. Jeśli masz gorączkę, kaszel i trudności w oddychaniu, udaj się do lekarza wcześniej umawiając wizytę telefonicznie"
